category,word,source
afinn_negative,disappear,afinn_vader_manual
afinn_negative,disappeared,afinn_vader_manual
afinn_negative,disappears,afinn_vader_manual
afinn_negative,disappoint,afinn_vader_manual
afinn_negative,disappointed,afinn_vader_manual
afinn_negative,disappointing,afinn_vader_manual
afinn_negative,disappointment,afinn_vader_manual
afinn_negative,disappointments,afinn_vader_manual
afinn_negative,disappoints,afinn_vader_manual
afinn_negative,disapproval,afinn_vader_manual
afinn_negative,disapprovals,afinn_vader_manual
afinn_negative,disapprove,afinn_vader_manual
afinn_negative,disapproved,afinn_vader_manual
afinn_negative,disapproves,afinn_vader_manual
afinn_negative,disapproving,afinn_vader_manual
afinn_negative,disaster,afinn_vader_manual
afinn_negative,disasters,afinn_vader_manual
afinn_negative,disbelieve,afinn_vader_manual
afinn_negative,discard,afinn_vader_manual
afinn_negative,discarded,afinn_vader_manual
afinn_negative,discarding,afinn_vader_manual
afinn_negative,discards,afinn_vader_manual
afinn_negative,discomfort,afinn_vader_manual
afinn_negative,disconsolate,afinn_vader_manual
afinn_negative,disconsolation,afinn_vader_manual
afinn_negative,discontented,afinn_vader_manual
afinn_negative,discord,afinn_vader_manual
afinn_negative,discounted,afinn_vader_manual
afinn_negative,discouraged,afinn_vader_manual
afinn_negative,discredited,afinn_vader_manual
afinn_negative,discriminate,afinn_vader_manual
afinn_negative,discriminated,afinn_vader_manual
afinn_negative,discriminates,afinn_vader_manual
afinn_negative,discriminating,afinn_vader_manual
afinn_negative,discriminatory,afinn_vader_manual
afinn_negative,disdain,afinn_vader_manual
afinn_negative,disease,afinn_vader_manual
afinn_negative,diseases,afinn_vader_manual
afinn_negative,disgrace,afinn_vader_manual
afinn_negative,disgraced,afinn_vader_manual
afinn_negative,disguise,afinn_vader_manual
afinn_negative,disguised,afinn_vader_manual
afinn_negative,disguises,afinn_vader_manual
afinn_negative,disguising,afinn_vader_manual
afinn_negative,disheartened,afinn_vader_manual
afinn_negative,dishonest,afinn_vader_manual
afinn_negative,disillusioned,afinn_vader_manual
afinn_negative,disinclined,afinn_vader_manual
afinn_negative,disjointed,afinn_vader_manual
afinn_negative,dislike,afinn_vader_manual
afinn_negative,disliked,afinn_vader_manual
afinn_negative,dislikes,afinn_vader_manual
afinn_negative,dismal,afinn_vader_manual
afinn_negative,dismayed,afinn_vader_manual
afinn_negative,dismissed,afinn_vader_manual
afinn_negative,disorder,afinn_vader_manual
afinn_negative,disorders,afinn_vader_manual
afinn_negative,disorganized,afinn_vader_manual
afinn_negative,disoriented,afinn_vader_manual
afinn_negative,disparage,afinn_vader_manual
afinn_negative,disparaged,afinn_vader_manual
afinn_negative,disparages,afinn_vader_manual
afinn_negative,disparaging,afinn_vader_manual
afinn_negative,displeased,afinn_vader_manual
afinn_negative,displeasure,afinn_vader_manual
afinn_negative,disproportionate,afinn_vader_manual
afinn_negative,dispute,afinn_vader_manual
afinn_negative,disputed,afinn_vader_manual
afinn_negative,disputes,afinn_vader_manual
afinn_negative,disputing,afinn_vader_manual
afinn_negative,disqualified,afinn_vader_manual
afinn_negative,disquiet,afinn_vader_manual
afinn_negative,disregard,afinn_vader_manual
afinn_negative,disregarded,afinn_vader_manual
afinn_negative,disregarding,afinn_vader_manual
afinn_negative,disregards,afinn_vader_manual
afinn_negative,disrespect,afinn_vader_manual
afinn_negative,disrespected,afinn_vader_manual
